,date_post,date_extraction,influencer,post_type,post_url,platform,comment,comment_likecount,replies,BU;;;;;;;;;,scores,compound,comp_score
41,2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,I&#39;ve heard this often goes with anciety/ depression. I&#39;ve had that and I think having mono made them all worse.,0,I too had mono...ever since high Epstein bar loads.  And bad cfs. ....keep an eye on your Epstein bar. It&#39;s linked to serious bad disease.....get panels run when you do blood work. I have been sick w cfs for three years. Now I have an MRI for MS. Which is linked to Epstein bar. Just keep eye on these. I&#39;ve been trying to get help for three years. Just started to figure out what a monster EBV is. Mold is linked to chronic fatigue. And ebv. Check your house n work spaces. Wishing you good health. Happy Holidays.,CS;;;;;,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.7783}",-0.7783,neg
51,2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,Falling asleep whilst watching this....zzzzzzzzx,0,Coffee 😁😁,CS;;;;;;;;;,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.1531}",-0.1531,neg
56,2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,Falling asleep whilst watching this....zzzzzzzzx,0,While?,CS;;;;;;;;;,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.1531}",-0.1531,neg
89,2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,Ninja nerd I&#39;m so happy that you choose that subject today. First comment!!! For the first time. LoL. Please next talk about ulcerative colitis,0,Ulcerative Colitis is next to be released! Hoping to get this done as soon as we can! 😀,CS;;;;;;;;,"{'neg': 0.068, 'neu': 0.622, 'pos': 0.31, 'compound': 0.8303}",0.8303,pos
96,"2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,""Regarding the inflammatory processes at work, I&#39;m seeing a lot of overlap with those active in COVID", ad many other diseases.  What&#39;s the word on Vitamin D as an anti-inflammatory therapy for CD?  I know CD patients tend to have lower levels but, as usual," it&#39;""s hard to distinguish cause from effect.  In any event"," it seems that substantial D3 supplementation would be: A: Likely harmless and B: Very possibly beneficial.""""",0,That’s interesting. I’m a nurse on a GI ward and I’ve been noticing a bit of an upswing in numbers of young people with new or flares of Crohns. It may be co-relation, it maybe causation," it may be just me looking out for it.""""","CS"";;;;;;","{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.4019}",0.4019,pos
108,2021-11-22,2021-12-15,ninjanerdscience,VIDEO,https://www.youtube.com/watch?v=UJw2WUtHLIk,Youtube,Ninja nerd I&#39;m so happy that you choose that subject today. First comment!!! For the first time. LoL. Please next talk about ulcerative colitis,0,@Ninja Nerd I’m so excited!!,CS;;;;;;;;,"{'neg': 0.068, 'neu': 0.622, 'pos': 0.31, 'compound': 0.8303}",0.8303,pos
131,2021-11-12,2021-12-15,sydneyserena,VIDEO,https://www.youtube.com/watch?v=V467rq8OVsc,Youtube,"Okay but I love how realistic this is because it is really hard to plan meals and everything while you are in college ( lol I love the fact that I&#39;m talking like I&#39;""m a college student) 😂😂",0,"<a href=""""""""https://youtu.be/sh7tL1c2aMU"""""""">https://youtu.be/sh7tL1c2aMU</a> Starbucks Christmas "";"")""""","CS"";;;;;;","{'neg': 0.041, 'neu': 0.56, 'pos': 0.4, 'compound': 0.9636}",0.9636,pos
138,2021-11-12,2021-12-15,sydneyserena,VIDEO,https://www.youtube.com/watch?v=V467rq8OVsc,Youtube,I kind of love how being healthy and happy is trendy,0,Perhaps where she lives 😅,CS;;;;;;;;;,"{'neg': 0.0, 'neu': 0.398, 'pos': 0.602, 'compound': 0.891}",0.891,pos
139,2021-11-12,2021-12-15,sydneyserena,VIDEO,https://www.youtube.com/watch?v=V467rq8OVsc,Youtube,No hate to syd at all I literally adore her with all my heart but it&#39;s crazy how much microwavable meals and processed food Americans have..I&#39;m from india here it&#39;s all about home-cooked meals!!,0,Relatable!,CS;;;;;;,"{'neg': 0.196, 'neu': 0.745, 'pos': 0.059, 'compound': -0.6524}",-0.6524,neg
159,2021-11-12,2021-12-15,sydneyserena,VIDEO,https://www.youtube.com/watch?v=V467rq8OVsc,Youtube,Friends with me yes or no,0,Hi there,CS;;;;;;;;;,"{'neg': 0.2, 'neu': 0.273, 'pos': 0.527, 'compound': 0.5574}",0.5574,pos
210,2021-11-12,2021-12-15,sydneyserena,VIDEO,https://www.youtube.com/watch?v=V467rq8OVsc,Youtube,I am playing the video but it says &#39;this video is unavailable on this device&#39;....,0,Same :(,CS;;;;;;;,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.1027}",0.1027,pos
218,2021-11-12,2021-12-15,sydneyserena,VIDEO,https://www.youtube.com/watch?v=V467rq8OVsc,Youtube,watching u from france!!! ilysm &lt;3,0,Hello,CS;;;;;;;;,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
227,2021-11-12,2021-12-15,sydneyserena,VIDEO,https://www.youtube.com/watch?v=V467rq8OVsc,Youtube,hey i love you:),0,first btw:),CS;;;;;;;;;,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",0.6369,pos
228,2021-11-12,2021-12-15,sydneyserena,VIDEO,https://www.youtube.com/watch?v=V467rq8OVsc,Youtube,I kind of love how being healthy and happy is trendy,0,I’ve been noticing the same with not drinking dairy and I’m here for it,CS;;;;;;;;;,"{'neg': 0.0, 'neu': 0.398, 'pos': 0.602, 'compound': 0.891}",0.891,pos
247,2021-11-12,2021-12-15,sydneyserena,VIDEO,https://www.youtube.com/watch?v=V467rq8OVsc,Youtube,I kind of love how being healthy and happy is trendy,0,Helo i am very poor😥<br> i dont have job to handle my family😭 <br>i work on YOUTUBE but no a good reponse😭 <br>youthink i am worse thank other...,CS;;;;;;;;;,"{'neg': 0.0, 'neu': 0.398, 'pos': 0.602, 'compound': 0.891}",0.891,pos
250,2021-11-12,2021-12-15,sydneyserena,VIDEO,https://www.youtube.com/watch?v=V467rq8OVsc,Youtube,Friends with me yes or no,0,Let&#39;s talk now yes or no,CS;;;;;;;;,"{'neg': 0.2, 'neu': 0.273, 'pos': 0.527, 'compound': 0.5574}",0.5574,pos
258,2021-11-12,2021-12-15,sydneyserena,VIDEO,https://www.youtube.com/watch?v=V467rq8OVsc,Youtube,Okay but I love how realistic this is because it is really hard to plan meals and everything while you are in college ( lol I love the fact that I&#39;m talking like I&#39;m a college student) 😂😂,0,lol,CS;;;;;;;,"{'neg': 0.041, 'neu': 0.56, 'pos': 0.4, 'compound': 0.9636}",0.9636,pos
334,2021-11-12,2021-12-15,sydneyserena,VIDEO,https://www.youtube.com/watch?v=V467rq8OVsc,Youtube,Friends with me yes or no,0,Can we talk now yes or no,CS;;;;;;;;;,"{'neg': 0.2, 'neu': 0.273, 'pos': 0.527, 'compound': 0.5574}",0.5574,pos
